City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
229,Arua,UG,77.61,overcast clouds,3.0201,30.9111,Golden Courts Hotel
237,Chotepe,HN,85.77,few clouds,15.4167,-87.9833,Casa de Cesar Molina
240,Kahului,US,82.42,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
242,Azua,DO,81.39,clear sky,18.4532,-70.7349,Cabañas Sexy Home
245,Lompoc,US,87.01,clear sky,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
248,Namibe,AO,75.18,overcast clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
254,Acapulco,MX,85.82,broken clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
256,Sijunjung,ID,70.45,broken clouds,-0.6876,100.9537,Hotel Bukik Gadang
257,Jacmel,HT,89.44,few clouds,18.2342,-72.5347,Historic Hotel Florita
258,Axim,GH,79.16,broken clouds,4.8699,-2.2405,Axim Beach Resort And Spa
260,Yulara,AU,71.44,clear sky,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
261,Benguela,AO,76.5,overcast clouds,-12.5763,13.4055,Hotel Praia Morena
262,Bathsheba,BB,79.41,scattered clouds,13.2167,-59.5167,Atlantis Hotel
267,Laguna,US,79.3,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
268,Sola,VU,78.06,overcast clouds,-13.8833,167.55,Leumerus Bungalows
269,Encrucijada,CU,81.16,broken clouds,22.6169,-79.8711,Hostal La Terraza
272,Sabang,ID,82.2,scattered clouds,5.8933,95.3214,Hotel Citra
274,San-Pedro,CI,78.28,scattered clouds,4.7485,-6.6363,Hotel Maria
275,Belmonte,BR,81.1,scattered clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
277,Wamba,NG,76.24,scattered clouds,8.9333,8.6,Roma Zee Guest House Annex
278,Vangaindrano,MG,73.92,broken clouds,-23.35,47.6,Hotel Fanilo
279,Cabo San Lucas,MX,85.3,few clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
283,Miandrivazo,MG,79.48,broken clouds,-19.5167,45.4667,Hôtel Arc En Ciel Miandrivazo
291,Dingle,PH,73.89,scattered clouds,10.9995,122.6711,SEGAYA PROPERTY
294,Urucara,BR,76.5,overcast clouds,-2.5364,-57.76,Pousada Maria Bonita
298,Ovalle,CL,78.3,clear sky,-30.5983,-71.2003,Hotel Altos de Tuqui
300,Sao Filipe,CV,77.43,broken clouds,14.8961,-24.4956,Hotel Xaguate
303,Dedougou,BF,76.93,scattered clouds,12.4667,-3.4667,Hôtel Bon Séjour
304,Bogo,PH,75.87,scattered clouds,11.0517,124.0055,Acrige Apartelle 2 pax Twin @ heart of Bogo City
307,Formosa,AR,71.58,overcast clouds,-26.1775,-58.1781,Hotel Portal del Sol
308,Ponnani,IN,76.32,few clouds,10.767,75.9252,Rouba Residency
312,Port Elizabeth,ZA,70.09,drizzle,-33.918,25.5701,39 On Nile Guest House
315,Buta,CD,72.9,overcast clouds,2.7858,24.73,HOTEL BISO NA BISO
332,Itarema,BR,79.75,overcast clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
333,Charters Towers,AU,75.54,clear sky,-20.1,146.2667,Cattleman's Rest Motor Inn
336,Sydney,AU,73.35,broken clouds,-33.8679,151.2073,The Grace Sydney
337,Alyangula,AU,83.73,scattered clouds,-13.8483,136.4192,Groote Eylandt Lodge
338,Itajai,BR,79.29,scattered clouds,-26.9078,-48.6619,Sandri Palace Hotel - Itajaí
341,Yanam,IN,71.11,broken clouds,16.7333,82.2167,The Regency Hotel
343,Hervey Bay,AU,77.04,scattered clouds,-25.2986,152.8535,Shelly Bay Resort
345,Pandan,PH,76.44,light rain,14.0453,124.1694,Bonifacio Lodge
349,Manadhoo,MV,80.78,overcast clouds,5.7667,73.3833,Bon Abri maldives
356,Port Moresby,PG,78.22,few clouds,-9.4431,147.1797,Lamana Hotel (Port Moresby)
357,Japura,ID,72.27,overcast clouds,-0.3167,102.35,Rumah mbah Jamah
361,Huarmey,PE,74.7,scattered clouds,-10.0681,-78.1522,Hotel Miramar
365,Tupancireta,BR,70.52,overcast clouds,-29.0806,-53.8358,Hotel Cassino
367,Ancud,CL,77.23,broken clouds,-41.8697,-73.8203,Hotel Arena Gruesa
369,Estrella,PH,70.83,overcast clouds,15.75,121.0333,Lawrence Garcia Residences
371,Natal,BR,83.05,scattered clouds,-5.795,-35.2094,Villa Park Hotel | Natal
373,Mount Isa,AU,78.57,scattered clouds,-20.7333,139.5,ibis Styles Mt Isa Verona
376,Puerto Quijarro,BO,85.21,broken clouds,-17.7833,-57.7667,Hotel palance
378,Hoi An,VN,75.16,overcast clouds,15.8794,108.335,Belle Maison Hadana Hoi An managed by H&K Hospitality
380,Touros,BR,83.3,scattered clouds,-5.1989,-35.4608,INN NEW HORIZON
381,Binga,ZW,71.19,overcast clouds,-17.6203,27.3414,Lakeview Inn Binga
382,Koumac,NC,82.63,overcast clouds,-20.5667,164.2833,Le Monitel
383,Gbadolite,CD,77.09,overcast clouds,4.2833,21.0167,Zenic
384,Nuevitas,CU,87.24,few clouds,21.5453,-77.2644,Hotel Caonaba
389,Moron,AR,70.97,few clouds,-34.6534,-58.6198,Hotel Morón
390,Hobyo,SO,76.84,overcast clouds,5.3505,48.5268,Halane Hotel and Restaurent
392,Manta,EC,80.38,broken clouds,-0.95,-80.7333,Balandra Hotel
398,Inhambane,MZ,74.7,clear sky,-23.865,35.3833,Oceano
399,Port Blair,IN,75.11,few clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
404,Badami,IN,71.4,scattered clouds,15.915,75.6768,Clarks Inn Badami
405,Bonthe,SL,77.67,clear sky,7.5264,-12.505,Bonthe Holiday Village
407,Eirunepe,BR,81.63,overcast clouds,-6.6603,-69.8736,Atrás de você
409,Singapore,SG,77.14,broken clouds,1.2897,103.8501,The Fullerton Hotel Singapore
411,Kerema,PG,78.6,clear sky,-7.9631,145.7785,Frena Lodge
413,Vieques,PR,76.89,broken clouds,18.425,-65.8329,"The St. Regis Bahia Beach Resort, Puerto Rico"
414,Muli,MV,80.78,overcast clouds,2.9167,73.5667,Medhufushi Island Resort
415,Barquisimeto,VE,81.23,broken clouds,10.0739,-69.3228,Hotel Príncipe
416,Sokoto,NG,71.47,few clouds,13.0609,5.239,Giginya Coral Hotel
420,Bosaso,SO,74.97,broken clouds,11.2842,49.1816,Red Sea Hotel
421,Kourou,GF,77.11,broken clouds,5.1552,-52.6478,Lodge TAKINI4 Guesthouse KOUROU FGU
423,Alice Town,BS,75.99,clear sky,25.7167,-79.3,Bimini Big Game Club Resort & Marina
428,Davila,PH,71.58,overcast clouds,18.4726,120.5763,Blue Ridge Beach Resort
431,Waggaman,US,71.01,broken clouds,29.9185,-90.2109,"Candlewood Suites Avondale-New Orleans, an IHG Hotel"
439,Vao,NC,79.97,overcast clouds,-22.6667,167.4833,Hotel Kou-Bugny
440,Kolokani,ML,70.03,clear sky,13.5728,-8.0339,Lycee Famolo Coulibalibali De Kolokani
441,Colac,AU,77.02,overcast clouds,-38.3333,143.5833,Otway Gate Motel
442,Grand Gaube,MU,81.0,clear sky,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
446,Manokwari,ID,78.31,overcast clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
448,Isangel,VU,86.11,broken clouds,-19.55,169.2667,Tanna Lodge
455,Madang,PG,77.22,broken clouds,-5.2246,145.7966,Comfort Inn Hotel
460,Salinopolis,BR,78.91,scattered clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
462,Mackay,AU,81.68,light rain,-21.15,149.2,International Lodge Motel
464,San Quintin,MX,74.48,broken clouds,30.4833,-115.95,Don Eddie's Landing
469,Sambava,MG,76.41,overcast clouds,-14.2667,50.1667,Melrose
471,Kindu,CD,70.18,overcast clouds,-2.95,25.95,Résidence Okanda
473,Matadi,CD,78.39,light rain,-5.8167,13.45,Hotel Vivi Palace
477,Yambio,SS,76.24,scattered clouds,4.5721,28.3955,Naivasha Hotel
484,Pitimbu,BR,82.99,few clouds,-7.4706,-34.8086,Reserva do Abiaí
485,Mahajanga,MG,78.82,few clouds,-15.7167,46.3167,Restaurant Greedy Coco Lodge Majunga
486,Barreirinhas,BR,78.96,scattered clouds,-2.7469,-42.8264,Gran Lençóis Flat Residence
489,Fountain Hills,US,82.69,clear sky,33.6117,-111.7174,Fountain Park Hotel
490,Santa Branca,BR,72.66,broken clouds,-23.3967,-45.8839,Jardins do Mirante
492,Jaciara,BR,76.8,moderate rain,-15.9653,-54.9683,Taba Hotel
494,Mayumba,GA,78.22,light rain,-3.432,10.6554,LIKWALE LODGE
495,Santarem,BR,78.93,scattered clouds,-2.4431,-54.7083,Ecotur Lodge
500,Edgewater,US,82.78,few clouds,28.9889,-80.9023,Islander Beach Resort
505,Bac Lieu,VN,77.76,broken clouds,9.285,105.7244,Khách sạn Sài Gòn Bạc Liêu
506,Gold Coast,AU,78.01,scattered clouds,-28.0,153.4333,Mantra Towers of Chevron Surfers Paradise
507,Boca Do Acre,BR,83.79,broken clouds,-8.7522,-67.3978,Hotel Sao Pedro
508,Kirakira,SB,81.19,overcast clouds,-10.4544,161.9205,SanBiz Lodge
513,Kota Kinabalu,MY,73.38,few clouds,5.9749,116.0724,Gaya Centre Hotel
514,Miracema Do Tocantins,BR,75.96,overcast clouds,-9.5618,-48.3967,Miami Apart Hotel
516,Tual,ID,82.78,few clouds,-5.6667,132.75,Grand Vilia Hotel
518,Sao Miguel Do Tapuio,BR,76.1,overcast clouds,-5.5036,-41.3233,Hotel Tropical
521,Tautira,PF,87.82,light rain,-17.7333,-149.15,Pension Oaoa
526,Miramar,US,80.62,clear sky,25.9873,-80.2323,Casa Miramar
529,Boyolangu,ID,74.26,moderate rain,-8.1181,111.8935,Yos ega cv
533,Poso,ID,75.04,overcast clouds,-1.3959,120.7524,Hotel 77 Poso
536,Alofi,NU,85.89,scattered clouds,-19.0595,-169.9187,Taloa Heights
537,Namatanai,PG,80.53,overcast clouds,-3.6667,152.4333,Seagulls Inn Namatani
542,Pundaguitan,PH,80.31,broken clouds,6.3711,126.1689,Leonardo Family Beach House 1
544,Takoradi,GH,79.45,broken clouds,4.8845,-1.7554,Raybow International Hotel
547,Yendi,GH,86.36,few clouds,9.4427,-0.0099,Eyarro Lodge
550,Cerqueira Cesar,BR,70.84,clear sky,-23.0356,-49.1661,Pousada São Jorge
554,Marsh Harbour,BS,76.66,few clouds,26.5412,-77.0636,Abaco Beach Resort
560,Farafangana,MG,75.65,light rain,-22.8167,47.8333,Miarina
564,Saint-Joseph,RE,77.36,few clouds,-21.3667,55.6167,"""Plantation Bed and Breakfast"
568,Guntakal,IN,70.56,clear sky,15.1667,77.3833,Vasavi Pipes Office
570,Noumea,NC,84.18,overcast clouds,-22.2763,166.4572,Hôtel Le Lagon
571,Minna,NG,82.22,clear sky,9.6139,6.5569,Royal Park hotel & suites
572,Buala,SB,80.96,overcast clouds,-8.145,159.5921,Maringe Lagoon Lodge
573,Port Hedland,AU,82.45,light rain,-20.3167,118.5667,"The Esplanade Hotel (Accommodation section closed for refurbishment - Bar, Restaurant & Functions remain open)"
577,Progreso,MX,78.12,overcast clouds,21.2833,-89.6667,Playa Linda Hotel
578,Comodoro Rivadavia,AR,85.86,clear sky,-45.8667,-67.5,Austral Hotel
585,Sharjah,AE,73.26,clear sky,25.3573,55.4033,Swiss Belhotel Sharjah
586,Panama City,PA,89.55,few clouds,8.9936,-79.5197,Riande Urban Hotel
591,Barra Do Garcas,BR,74.7,broken clouds,-15.89,-52.2567,Pousada Tropical
611,Basoko,CD,78.17,overcast clouds,1.2391,23.616,Jackyna Hotel
612,Simacota,CO,70.39,broken clouds,6.4429,-73.3369,Hotel Portal Simacota
614,Bandarbeyla,SO,75.47,overcast clouds,9.4942,50.8122,JABIR HOTEL
615,North Las Vegas,US,72.81,clear sky,36.1989,-115.1175,Plaza Hotel & Casino
618,Tucuman,AR,73.4,few clouds,-26.8241,-65.2226,Dallas Hotel Tucuman
620,Sorong,ID,78.24,overcast clouds,-0.8833,131.25,Waigo Splash Hotel
625,Tuy Hoa,VN,73.8,broken clouds,13.0833,109.3,CenDeluxe Hotel Tuy Hoa
628,Makurdi,NG,81.39,broken clouds,7.7411,8.5121,Doo Palace Hotel
629,Clarence Town,AU,72.86,overcast clouds,-32.5833,151.7833,River Downs Cottage
631,Saint-Pierre,RE,78.44,few clouds,-21.3393,55.4781,Lindsey Hôtel
633,Jacareacanga,BR,75.02,light rain,-6.2222,-57.7528,Casa do Ian😎
634,Maputo,MZ,78.22,scattered clouds,-25.9653,32.5892,Pestana Rovuma
636,Leogane,HT,89.8,clear sky,18.5108,-72.6339,Family Health Ministries Guest House
638,Siavonga,ZM,72.0,light rain,-16.5382,28.7088,Lavongora Waterfront Lodge
640,Reconquista,AR,70.61,overcast clouds,-29.15,-59.65,Grand Hotel
641,Pimentel,PE,77.29,clear sky,-6.8367,-79.9342,Casona Del Muelle
643,Primero De Enero,CU,80.46,broken clouds,21.9469,-78.4283,Motel Dos Palmas (Maria Machete)
646,Luganville,VU,77.9,overcast clouds,-15.5333,167.1667,The Espiritu Hotel
647,Labuhan,ID,77.58,light rain,-6.8844,112.2051,DoubleFAG
648,Beira,MZ,82.49,scattered clouds,-19.8436,34.8389,Beira Terrace Hotel
649,Cayenne,GF,77.09,overcast clouds,4.9333,-52.3333,Hôtel Le Dronmi
651,Planeta Rica,CO,88.84,scattered clouds,8.4147,-75.5883,HOTEL MEDIA LUNA
653,San Andres,CO,80.62,few clouds,12.5847,-81.7006,Hotel Arena Blanca
654,Nuevo Progreso,MX,83.59,scattered clouds,23.1667,-97.95,Balneario Rio el Paraiso
657,Warrnambool,AU,76.8,overcast clouds,-38.3833,142.4833,Lady Bay Resort
658,Imuris,MX,74.52,clear sky,30.7833,-110.8667,Hotel del Toro Hereford
662,El Tigre,VE,80.15,broken clouds,8.8875,-64.2454,Hotel Santa Cruz
663,Lamu,KE,77.22,broken clouds,-2.2717,40.902,Lamu House
664,Iracoubo,GF,75.94,overcast clouds,5.4802,-53.2011,Le Gîte d’Iracoubo
666,Touho,NC,81.97,broken clouds,-20.7833,165.2333,Auberge Timay Evasion
669,Inirida,CO,80.89,overcast clouds,3.8653,-67.9239,Fuente del Guania Hotel de Lujo
670,Conceicao Do Araguaia,BR,73.8,light rain,-8.2578,-49.2647,Tarumã Tropical Hotel
671,Carutapera,BR,77.18,overcast clouds,-1.195,-46.02,Lidera
674,Am Timan,TD,76.53,broken clouds,11.0297,20.2827,Palais du chef Canton Salamt
676,Acari,PE,74.95,broken clouds,-15.4311,-74.6158,HOSPEDAJE XIMENA
