City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
78,Chokurdakh,RU,70.6333,147.9167,-2.09,95,100,13.09,overcast clouds
79,Natchez,US,31.5604,-91.4032,53.04,52,75,19.57,broken clouds
80,Muravlenko,RU,63.7898,74.523,-11.22,97,16,11.83,few clouds
81,Shasta Lake,US,40.6804,-122.3708,76.82,20,0,2.01,clear sky
82,Nome,US,64.5011,-165.4064,3.27,43,40,8.05,scattered clouds
83,Port Lincoln,AU,-34.7333,135.8667,71.47,44,100,5.41,overcast clouds
84,Aklavik,CA,68.2191,-135.0107,-26.66,95,95,6.11,overcast clouds
85,Port Hardy,CA,50.6996,-127.4199,46.76,60,95,2.3,overcast clouds
86,Chuy,UY,-33.6971,-53.4616,68.25,95,98,9.19,overcast clouds
87,Busselton,AU,-33.65,115.3333,55.09,79,0,11.54,clear sky
88,Codrington,AU,-38.2667,141.9667,78.71,36,85,17.29,overcast clouds
89,Mareeba,AU,-17.0,145.4333,76.44,81,69,3.56,broken clouds
90,Lahij,YE,13.1667,44.5833,68.86,76,94,3.2,overcast clouds
91,Simav,TR,39.0882,28.9777,37.96,80,100,5.59,overcast clouds
92,Emerald,AU,-23.5333,148.1667,76.33,61,0,11.03,clear sky
93,Provideniya,RU,64.3833,-173.3,-7.98,83,11,4.72,few clouds
94,Banda Aceh,ID,5.5577,95.3222,77.31,84,39,10.27,scattered clouds
95,Littleton,US,39.6133,-105.0166,50.99,45,75,4.61,broken clouds
96,Portland,US,45.5234,-122.6762,66.61,30,0,16.11,clear sky
97,Mehamn,NO,71.0357,27.8492,27.7,73,92,21.59,light snow
98,Egvekinot,RU,66.3167,-179.1667,-18.83,88,18,7.4,few clouds
99,Faanui,PF,-16.4833,-151.75,81.12,74,97,13.8,light rain
100,Bredasdorp,ZA,-34.5322,20.0403,69.12,78,100,0.0,overcast clouds
101,Duayaw Nkwanta,GH,7.1724,-2.1028,74.39,69,81,3.18,broken clouds
102,Ponta Do Sol,PT,32.6667,-17.1,64.06,58,30,5.12,scattered clouds
103,San Rafael,AR,-34.6177,-68.3301,74.5,24,0,13.91,clear sky
104,Dikson,RU,73.5069,80.5464,-4.58,81,100,27.16,overcast clouds
105,Fare,PF,-16.7,-151.0167,81.5,72,97,13.4,overcast clouds
106,Castro,BR,-24.7911,-50.0119,69.19,68,45,2.24,scattered clouds
107,Zharkent,KZ,44.1628,80.0,27.41,91,98,5.06,overcast clouds
108,Geraldton,AU,-28.7667,114.6,66.61,82,3,9.22,clear sky
109,Tuktoyaktuk,CA,69.4541,-133.0374,-25.6,62,20,6.91,few clouds
110,Vardo,NO,70.3705,31.1107,26.91,64,8,16.28,clear sky
111,Lasem,ID,-6.6922,111.4527,76.41,89,100,4.72,light rain
112,East London,ZA,-33.0153,27.9116,75.79,91,1,8.41,clear sky
113,Nanakuli,US,21.3906,-158.1547,80.71,48,20,6.91,few clouds
114,Atuona,PF,-9.8,-139.0333,77.58,78,6,12.86,light rain
115,Katsuura,JP,35.1333,140.3,39.31,58,52,2.82,broken clouds
